,ID,compactness,red_std,green_std,blue_std,lesiontype
0,ISIC_0000000,476.1471509300791,36.32193231177959,40.20267895954412,43.94650991819895,0
1,ISIC_0000001,456.8871975303038,30.479282920021525,24.619407776874397,19.493460180325048,0
2,ISIC_0000003,462.14036080835,32.86419755746287,34.193530185339306,31.073812116369783,0
3,ISIC_0000006,512.2736285338276,12.55148397196489,24.559553326461614,32.68621194160854,0
4,ISIC_0000007,424.7093554639436,16.669259867213164,25.862377076028803,31.104333826595557,0
5,ISIC_0000008,499.15416959498185,29.948266797046628,35.272550965260194,34.492038224106786,0
6,ISIC_0000009,514.534582983437,17.091850990799635,25.532384644225232,26.768416904968152,0
7,ISIC_0000010,439.5189655765454,21.260199417038873,27.74179253234,28.559016430277936,0
8,ISIC_0000011,510.2758281227292,15.554174442356981,24.07435731307226,27.70893284430208,0
9,ISIC_0000012,395.27716329590606,20.00620266985338,18.248833927757936,21.051313302887664,0
10,ISIC_0000014,552.7411319770803,9.907479665397583,16.28934768760332,24.958615270156677,0
11,ISIC_0000015,587.5876040500167,21.125638582010943,33.78169602000038,41.93770880871944,0
12,ISIC_0000016,436.99304708141545,33.00056522667851,36.501717232550064,38.66409825558032,0
13,ISIC_0000017,527.0473597614894,23.93336526836499,30.04326993503275,28.032121091880295,0
14,ISIC_0000018,628.9653932860914,13.507745833561659,21.578456467556123,26.598463313599556,0
15,ISIC_0000019,465.8041488150844,30.42090581623469,38.34635932515243,38.056344844522044,0
16,ISIC_0000020,640.1346133871349,29.172478352192922,33.993932289609724,34.42662441888257,0
17,ISIC_0000021,865.1195465914224,9.26285027290684,16.60349282939083,21.928470720905405,0
18,ISIC_0000023,500.6738241128454,15.46346187777799,21.426467048038294,23.750071819776974,0
19,ISIC_0000024,401.90395037692304,3.947248203637067,13.24712798443597,16.04975312409125,0
20,ISIC_0000025,827.3096081604889,9.311652924245374,14.38774206871751,16.117903196077542,0
21,ISIC_0000027,571.5268262461005,15.380761387588946,23.72533448417261,26.796579027208566,0
22,ISIC_0000028,565.9177142136302,39.83005734220225,36.53775261936623,31.967874500511464,0
23,ISIC_0000032,443.2530908987901,9.804131030821724,19.469103286817848,25.566946386723938,0
24,ISIC_0000034,577.1334114340239,20.420016521946103,27.724267845364565,30.92892479152314,0
25,ISIC_0000037,692.8273406695084,34.94078754582265,49.09427151870704,63.29405179755336,0
26,ISIC_0000038,618.8078543967102,29.351150623880955,47.97266650502669,64.74624739153766,0
27,ISIC_0000039,473.0590134583771,36.19015103653031,34.836281331619226,33.46633780235522,0
28,ISIC_0000041,475.8429594915008,26.413851761425306,26.450888988948464,27.734047467939792,0
29,ISIC_0000042,452.810689809585,31.347899335790828,40.08776922175581,47.85160778129218,0
30,ISIC_0000044,519.702674930614,35.798161965734806,39.21528159286105,37.76456014211163,0
31,ISIC_0000045,485.2392778628709,35.964802657164014,44.51902441427401,47.98057862386061,0
32,ISIC_0000047,519.6884608464368,37.2419518235625,42.90827968837304,49.351849157731,0
33,ISIC_0000048,520.5219238549208,43.74729662919526,36.07285433025731,33.16239152264465,0
34,ISIC_0000050,480.4141772692732,9.068902309314478,20.302127708097032,24.031656146649702,0
35,ISIC_0000051,749.0085836792573,25.231453285564328,29.280709671035368,30.724019483295397,0
36,ISIC_0000052,532.11785649682,27.065487419453074,41.00918384466528,41.391388745310756,0
37,ISIC_0000053,768.3492076256344,31.634851278402763,37.75445835821066,40.550509837313264,0
38,ISIC_0000055,599.9045355068279,15.419855065321048,25.932109033779547,30.888658427877658,0
39,ISIC_0000057,457.2865184501749,12.245015424817465,23.749322454606865,29.82482982541877,0
40,ISIC_0000059,457.499792672829,31.347587356715728,43.65383723842783,48.128351144180385,0
41,ISIC_0000061,574.0421697447223,29.368317599053803,31.595004381989042,29.5569026328298,0
42,ISIC_0000062,602.6935816881063,28.023095004354765,26.814585271366685,24.105142465761368,0
43,ISIC_0000063,644.2011928346087,45.707317575212514,50.87724520481915,50.632399462762926,0
44,ISIC_0000064,516.3873438476181,27.89817010875861,32.418921240100886,30.47692770315134,0
45,ISIC_0000065,616.4493054654095,25.432889807567186,24.21008449112254,20.38140071590376,0
46,ISIC_0000066,514.4935353359799,51.416133905905575,50.88135528468372,52.30330281238648,0
47,ISIC_0000067,474.7840785526775,27.64807854743657,31.799972542706357,32.772896605073036,0
48,ISIC_0000068,483.14069202682543,28.23475835390768,33.83171554519522,31.85018838352734,0
49,ISIC_0000069,476.6152194717131,12.127039074267037,20.39626617023423,25.34450128079984,0
